Neighborhood,Latitude,Longitude,Daily Orders
Koramangala,12.9352,77.6245,580
Indiranagar,12.9719,77.6412,520
HSR Layout,12.9116,77.6741,490
Whitefield,12.9698,77.7499,640
Electronic City,12.8452,77.6602,510
Jayanagar,12.9308,77.5838,440
Malleshwaram,13.0031,77.5643,380
Bellandur,12.9260,77.6762,560
Marathahalli,12.9591,77.6974,480
Hebbal,13.0358,77.5970,390
Rajajinagar,12.9915,77.5524,340
Banashankari,12.9255,77.5468,360
BTM Layout,12.9166,77.6101,430
Yelahanka,13.1007,77.5963,310
Sarjapur Road,12.9081,77.6953,470
JP Nagar,12.9063,77.5857,410
Sadashivanagar,13.0068,77.5813,290
Basavanagudi,12.9421,77.5753,350
Frazer Town,12.9968,77.6130,320
RT Nagar,13.0234,77.5937,280
Domlur,12.9609,77.6387,370
Ulsoor,12.9817,77.6285,340
Mahadevapura,12.9866,77.6961,460
KR Puram,13.0075,77.6959,410
Peenya,13.0329,77.5273,260
Kengeri,12.9177,77.4838,240
Yeshwanthpur,13.0228,77.5487,330
Nagarbhavi,12.9592,77.5098,270
